x,Tg,Ts
0,15,15
0.01,14.7708,14.694
0.02,14.525,14.3864
0.03,14.2666,14.0772
0.04,13.9996,13.7679
0.05,13.7284,13.4607
0.06,13.4575,13.1592
0.07,13.192,12.8674
0.08,12.9373,12.5904
0.09,12.6995,12.3341
0.1,12.4853,12.1052
0.11,12.302,11.9112
0.12,12.1579,11.7606
0.13,12.0622,11.6627
0.14,12.025,11.6283
0.15,12.0575,11.6689
0.16,12.1721,11.7975
0.17,12.3826,12.0285
0.18,12.7042,12.3778
0.19,13.1539,12.8631
0.2,13.7502,13.5037
0.21,14.5137,14.3211
0.22,15.4672,15.3387
0.23,16.6356,16.5826
0.24,18.0468,18.0809
0.25,19.7311,19.8646
0.26,21.7222,21.9673
0.27,24.057,24.4254
0.28,26.7767,27.278
0.29,29.9264,30.5669
0.3,33.5565,34.336
0.31,37.723,38.6307
0.32,42.489,43.4973
0.33,47.9259,48.9807
0.34,54.1157,55.1218
0.35,61.154,61.9535
0.36,69.1548,69.4943
0.37,78.2565,77.7386
0.38,88.6317,86.642
0.39,100.502,96.0996
0.4,114.157,105.913
0.41,126.84,115.742
0.42,138.615,125.344
0.43,149.524,134.545
0.44,159.585,143.22
0.45,168.805,151.27
0.46,177.177,158.623
0.47,184.688,165.217
0.48,191.319,170.999
0.49,197.042,175.922
0.5,201.825,179.943
0.51,205.628,183.019
0.52,208.407,185.108
0.53,210.108,186.17
0.54,210.67,186.165
0.55,210.017,185.059
0.56,208.063,182.825
0.57,204.7,179.45
0.58,199.794,174.945
0.59,193.178,169.356
0.6,184.631,162.79
0.61,173.864,155.446
0.62,163.632,147.661
0.63,153.867,139.672
0.64,144.521,131.644
0.65,135.565,123.694
0.66,126.98,115.904
0.67,118.754,108.331
0.68,110.881,101.013
0.69,103.355,93.9794
0.7,96.1719,87.2465
0.71,89.3297,80.8257
0.72,82.8247,74.7231
0.73,76.6531,68.9406
0.74,70.8106,63.4775
0.75,65.2918,58.3304
0.76,60.0908,53.4942
0.77,55.2008,48.9621
0.78,50.6141,44.7263
0.79,46.3224,40.7779
0.8,42.317,37.1074
0.81,38.5883,33.7045
0.82,35.1267,30.5589
0.83,31.9222,27.6598
0.84,28.9649,24.9965
0.85,26.2447,22.5585
0.86,23.7517,20.3354
0.87,21.4766,18.3173
0.88,19.4104,16.4949
0.89,17.5448,14.8597
0.9,15.8724,13.4038
0.91,14.3868,12.1206
0.92,13.0829,11.0044
0.93,11.9572,10.0508
0.94,11.0078,9.25683
0.95,10.2352,8.62074
0.96,9.64241,8.14212
0.97,9.23557,7.82167
0.98,9.0247,7.66078
0.99,9.0247,7.66078
